,연도,팀명,G,W,D,L,WPCT,R,R(A),RD,WIN,POST,AVG,PA,AB,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH-BA,ERA,SV,HLD,HA,HR(A),BB(A),HBP(A),K,ER,WHIP,CG,SHO,QS,BSV,TBF,NP,AVG(A),2B(A),3B(A),GDP(A),SAC(A),IBB(A),WP,BK,E,PKO,PO,A,DP,FPCT,PB,SB,CS,CS%,SBA(R),SB(R),CS(R),SB(R)%,OOB,PKO(R)
127,2016,NC,144,83,3,58,0.589,857,690,167,N,Y,0.291,5833,5007,1457,249,19,169,2251,808,70,52,609,18,93,1023,133,0.45,0.375,0.825,143,0.302,0.239,4.48,36,62,1314,137,516,86,1147,640,1.42,0,10,42,13,5643,22029,0.266,208,18,53,40,2,84,7,100,4,3859,1430,136,0.981,3,70,43,38.1,140,99,41,70.7,48,3
128,2016,SK,144,69,0,75,0.479,753,784,-31,N,N,0.291,5672,5023,1464,234,19,182,2282,715,71,47,429,13,102,1018,104,0.454,0.356,0.81,142,0.276,0.299,4.87,31,43,1386,151,527,76,945,689,1.5,1,5,60,12,5659,21558,0.28,232,22,61,48,18,65,7,123,7,3822,1691,149,0.978,4,106,64,37.6,149,89,60,59.7,71,8
129,2016,넥센,144,77,1,66,0.538,813,757,56,N,Y,0.293,5702,4990,1464,254,39,134,2198,765,34,59,556,17,63,956,121,0.44,0.368,0.808,144,0.306,0.244,4.96,38,74,1487,152,435,68,895,705,1.5,0,4,45,17,5684,21627,0.294,249,27,66,59,3,50,3,94,8,3841,1460,121,0.983,11,98,60,38,237,154,83,65,56,11
130,2016,두산,144,93,1,50,0.65,935,682,253,Y,Y,0.298,5841,5044,1504,284,25,183,2387,877,43,68,600,11,86,884,121,0.473,0.378,0.851,144,0.305,0.261,4.45,36,55,1385,136,498,77,982,636,1.46,2,7,75,15,5658,22155,0.279,246,30,59,51,7,66,4,79,8,3863,1522,160,0.986,4,82,44,34.9,130,85,45,65.4,64,4
131,2016,롯데,144,66,0,78,0.458,777,865,-88,N,N,0.288,5784,5001,1439,252,20,127,2112,732,62,41,596,18,83,1061,120,0.422,0.37,0.792,144,0.285,0.251,5.63,27,59,1486,161,585,78,1009,792,1.64,2,5,50,18,5785,22761,0.297,276,32,60,52,27,82,5,91,14,3799,1545,142,0.983,14,90,59,39.6,209,145,64,69.4,55,10
132,2016,삼성,144,65,1,78,0.455,852,869,-17,N,N,0.293,5863,5093,1492,249,34,142,2235,792,88,55,552,15,75,864,119,0.439,0.367,0.806,144,0.298,0.221,5.64,34,60,1507,193,518,87,935,804,1.58,2,4,49,18,5799,22623,0.296,251,20,59,43,6,52,8,90,12,3847,1410,140,0.983,8,115,58,33.5,154,104,50,67.5,51,5
133,2016,한화,144,66,3,75,0.468,826,908,-82,N,N,0.289,5838,5109,1478,242,27,142,2200,787,87,41,510,19,91,1025,123,0.431,0.362,0.793,144,0.301,0.28,5.76,24,39,1520,155,634,76,976,827,1.67,1,2,25,13,5937,23157,0.299,230,15,81,59,23,72,6,124,7,3878,1497,152,0.977,8,124,66,34.7,102,64,38,62.7,58,10
134,2017,KIA,144,87,1,56,0.608,906,743,163,Y,Y,0.302,5841,5142,1554,292,29,170,2414,868,55,56,499,19,89,891,117,0.469,0.37,0.839,144,0.324,0.254,4.79,33,46,1518,137,434,77,985,687,1.51,5,5,75,18,5748,22223,0.295,255,21,52,46,22,69,4,98,4,3870,1498,153,0.982,12,69,45,39.5,110,76,34,69.1,46,8
135,2017,KT,144,50,0,94,0.347,655,876,-221,N,N,0.275,5485,4937,1360,274,17,119,2025,625,62,45,374,11,66,1017,118,0.41,0.332,0.742,144,0.29,0.239,5.75,22,41,1524,174,433,95,913,803,1.56,4,7,49,18,5702,21518,0.301,283,27,68,49,11,77,6,112,6,3768,1460,134,0.979,10,109,43,28.3,137,86,51,62.8,54,8
136,2017,LG,144,69,3,72,0.489,699,677,22,N,N,0.281,5614,4944,1390,216,20,110,1976,663,76,55,438,17,101,1021,123,0.4,0.348,0.748,144,0.295,0.217,4.3,32,66,1305,124,379,102,1040,611,1.32,4,6,62,18,5507,21107,0.266,249,29,57,54,31,81,3,103,12,3837,1434,127,0.981,9,62,37,37.4,133,77,56,57.9,50,9
137,2017,NC,144,79,3,62,0.56,786,745,41,N,Y,0.293,5790,5079,1489,277,19,149,2251,739,62,48,471,19,130,979,119,0.443,0.365,0.808,144,0.292,0.249,4.71,32,51,1342,169,470,93,1097,673,1.41,1,10,48,11,5640,22176,0.269,208,9,63,29,12,93,3,108,4,3854,1432,134,0.98,4,64,42,39.6,125,93,32,74.4,59,7
138,2017,SK,144,75,1,68,0.524,761,767,-6,N,Y,0.271,5564,4925,1337,222,15,234,2291,733,57,41,427,20,113,1100,97,0.465,0.341,0.806,144,0.273,0.237,5.02,30,64,1443,154,481,105,940,709,1.51,2,4,57,24,5692,21752,0.288,271,17,58,36,35,61,7,108,15,3812,1552,139,0.98,8,80,39,32.8,95,53,42,55.8,33,7
139,2017,넥센,144,69,2,73,0.486,789,764,25,N,N,0.29,5712,5098,1479,267,30,141,2229,748,21,42,468,15,83,1066,129,0.437,0.357,0.794,144,0.29,0.23,5.03,40,66,1488,149,388,97,1005,710,1.48,2,5,60,18,5663,21258,0.292,280,21,47,40,10,56,3,91,7,3813,1424,125,0.983,8,73,43,37.1,104,70,34,67.3,55,2
140,2017,두산,144,84,3,57,0.596,849,678,171,N,Y,0.294,5833,5102,1499,270,20,178,2343,812,48,47,541,19,95,960,120,0.459,0.369,0.828,144,0.296,0.2,4.38,35,46,1405,125,464,87,956,627,1.45,3,9,69,13,5682,22169,0.28,234,31,77,39,11,54,4,90,9,3864,1468,138,0.983,5,64,36,36,102,69,33,67.6,36,8
